Sample,L Left,L Right,W Top,W Mid,W Bottom,T Top-left,T Top-right,T Mid-left,T Mid-right,T Bottom-left,T Bottom-right
1,250.11,250.08,25.03,25.03,25.05,2.07,2.08,2.12,2.13,2.01,2.03
2,250.09,250.08,25.01,25.03,25.09,2.09,2.07,2.13,2.07,2.05,2.01
3,250.09,250.05,24.95,25.02,25.09,2.06,2.06,2.07,2.08,2.01,2
4,250.06,250.06,25.02,25.04,25.03,2.06,2.08,2.1,2.08,2.03,2.01
5,250.07,250.07,25.02,25.07,25.16,2.06,2.07,2.08,2.07,2.01,2
6,250.07,250.07,25.1,25.08,25.06,2.06,2.06,2.09,2.08,2,2
7,250.07,250.07,25.05,25.05,25.05,2.06,2.06,2.07,2.06,2,2
8,250.06,250.06,24.96,24.94,24.94,2.07,2.1,2.07,2.11,2.01,2.06
9,250.06,250.07,25.01,25.02,25.11,2.1,2.02,2.12,2.07,2.03,1.96
,,,,,,,,,,,
