Sample,L Left,L Right,W Top,W Mid,W Bottom,T Top-left,T Top-right,T Mid-left,T Mid-right,T Bottom-left,T Bottom-right
1,250.04,250.03,25.05,25.06,25.07,2.08,1.94,2.12,1.99,2.02,1.88
2,250.04,250.05,25.03,25.07,25.04,2.08,2.09,2.1,2.12,2.03,2.05
3,250.04,250.05,25.04,25.04,25.05,2.06,2.07,2.07,2.08,2,2
4,250.06,250.06,25.06,25.06,25.07,2.07,2.06,2.09,2.07,2,1.99
5,250.07,250.07,25.06,25.06,25.07,2.07,2.08,2.09,2.08,1.99,2
6,250.08,250.08,25.07,25.05,25.08,2.07,2.06,2.1,2.08,1.99,1.99
7,250.08,250.08,24.99,25,25.02,2.06,2.06,2.06,2.08,2,2
8,250.08,250.08,25.08,25.08,25.16,2.08,2.06,2.08,2.06,2.02,1.99
9,250.11,250.12,25.04,25.06,25.07,2.11,2.08,2.13,2.09,2.03,2.01
10,250.14,250.13,25.07,25.07,25.06,1.96,2.09,1.97,2.13,1.91,2.01
